iteration,n_conflicted_cells,converged,total_iterations
0,5474,False,22250
250,5426,False,22250
500,5354,False,22250
750,5280,False,22250
1000,5221,False,22250
1250,5150,False,22250
1500,5060,False,22250
1750,4942,False,22250
2000,4821,False,22250
2250,4705,False,22250
2500,4566,False,22250
2750,4419,False,22250
3000,4287,False,22250
3250,4124,False,22250
3500,3936,False,22250
3750,3743,False,22250
4000,3531,False,22250
4250,3321,False,22250
4500,3075,False,22250
4750,2825,False,22250
5000,2738,False,22250
5250,2649,False,22250
5500,2535,False,22250
5750,2442,False,22250
6000,2317,False,22250
6250,2208,False,22250
6500,2040,False,22250
6750,1893,False,22250
7000,1701,False,22250
7250,1589,False,22250
7500,1492,False,22250
7750,1376,False,22250
8000,1237,False,22250
8250,1076,False,22250
8500,894,False,22250
8750,809,False,22250
9000,698,False,22250
9250,592,False,22250
9500,513,False,22250
9750,436,False,22250
10000,350,False,22250
10250,274,False,22250
10500,174,False,22250
10750,129,False,22250
11000,76,False,22250
11250,53,False,22250
11500,36,False,22250
11750,28,False,22250
12000,26,False,22250
12250,20,False,22250
12500,20,False,22250
12750,20,False,22250
13000,20,False,22250
13250,20,False,22250
13500,20,False,22250
13750,20,False,22250
14000,20,False,22250
14250,20,False,22250
14500,20,False,22250
14750,20,False,22250
15000,20,False,22250
15250,20,False,22250
15500,20,False,22250
15750,20,False,22250
16000,20,False,22250
16250,20,False,22250
16500,20,False,22250
16750,20,False,22250
17000,20,False,22250
17250,20,False,22250
17500,20,False,22250
17750,20,False,22250
18000,20,False,22250
18250,20,False,22250
18500,20,False,22250
18750,20,False,22250
19000,20,False,22250
19250,20,False,22250
19500,20,False,22250
19750,20,False,22250
20000,20,False,22250
20250,20,False,22250
20500,20,False,22250
20750,20,False,22250
21000,20,False,22250
21250,20,False,22250
21500,20,False,22250
21750,20,False,22250
22000,20,False,22250
22250,20,False,22250
