iteration,n_conflicted_cells,converged,total_iterations
0,5350,True,7506
250,5278,True,7506
500,5186,True,7506
750,5107,True,7506
1000,4995,True,7506
1250,4900,True,7506
1500,4781,True,7506
1750,4649,True,7506
2000,4513,True,7506
2250,4363,True,7506
2500,4216,True,7506
2750,4036,True,7506
3000,3853,True,7506
3250,3618,True,7506
3500,3414,True,7506
3750,3137,True,7506
4000,2890,True,7506
4250,2582,True,7506
4500,2243,True,7506
4750,2097,True,7506
5000,1954,True,7506
5250,1801,True,7506
5500,1610,True,7506
5750,1403,True,7506
6000,1131,True,7506
6250,871,True,7506
6500,710,True,7506
6750,533,True,7506
7000,317,True,7506
7250,138,True,7506
7500,4,True,7506
7506,0,True,7506
