iteration,n_conflicted_cells,converged,total_iterations
0,5374,True,7813
250,5300,True,7813
500,5198,True,7813
750,5108,True,7813
1000,4995,True,7813
1250,4869,True,7813
1500,4720,True,7813
1750,4572,True,7813
2000,4455,True,7813
2250,4301,True,7813
2500,4122,True,7813
2750,3962,True,7813
3000,3755,True,7813
3250,3529,True,7813
3500,3332,True,7813
3750,3094,True,7813
4000,2843,True,7813
4250,2548,True,7813
4500,2268,True,7813
4750,2153,True,7813
5000,2022,True,7813
5250,1864,True,7813
5500,1675,True,7813
5750,1467,True,7813
6000,1242,True,7813
6250,958,True,7813
6500,830,True,7813
6750,699,True,7813
7000,486,True,7813
7250,335,True,7813
7500,198,True,7813
7750,37,True,7813
7813,0,True,7813
