iteration,n_conflicted_cells,converged,total_iterations
0,5479,False,22250
250,5433,False,22250
500,5373,False,22250
750,5315,False,22250
1000,5232,False,22250
1250,5155,False,22250
1500,5074,False,22250
1750,4983,False,22250
2000,4885,False,22250
2250,4748,False,22250
2500,4641,False,22250
2750,4505,False,22250
3000,4367,False,22250
3250,4184,False,22250
3500,4013,False,22250
3750,3819,False,22250
4000,3618,False,22250
4250,3382,False,22250
4500,3185,False,22250
4750,2971,False,22250
5000,2859,False,22250
5250,2755,False,22250
5500,2638,False,22250
5750,2508,False,22250
6000,2363,False,22250
6250,2213,False,22250
6500,2069,False,22250
6750,1902,False,22250
7000,1706,False,22250
7250,1551,False,22250
7500,1471,False,22250
7750,1354,False,22250
8000,1251,False,22250
8250,1123,False,22250
8500,971,False,22250
8750,896,False,22250
9000,782,False,22250
9250,675,False,22250
9500,593,False,22250
9750,488,False,22250
10000,418,False,22250
10250,341,False,22250
10500,257,False,22250
10750,196,False,22250
11000,130,False,22250
11250,79,False,22250
11500,46,False,22250
11750,20,False,22250
12000,18,False,22250
12250,12,False,22250
12500,12,False,22250
12750,12,False,22250
13000,12,False,22250
13250,12,False,22250
13500,12,False,22250
13750,12,False,22250
14000,12,False,22250
14250,12,False,22250
14500,12,False,22250
14750,12,False,22250
15000,12,False,22250
15250,12,False,22250
15500,12,False,22250
15750,12,False,22250
16000,12,False,22250
16250,12,False,22250
16500,12,False,22250
16750,12,False,22250
17000,12,False,22250
17250,12,False,22250
17500,12,False,22250
17750,12,False,22250
18000,12,False,22250
18250,12,False,22250
18500,12,False,22250
18750,12,False,22250
19000,12,False,22250
19250,12,False,22250
19500,12,False,22250
19750,12,False,22250
20000,12,False,22250
20250,12,False,22250
20500,12,False,22250
20750,12,False,22250
21000,12,False,22250
21250,12,False,22250
21500,12,False,22250
21750,12,False,22250
22000,12,False,22250
22250,12,False,22250
