iteration,n_conflicted_cells,converged,total_iterations
0,22439,True,30799
250,22436,True,30799
500,22420,True,30799
750,22410,True,30799
1000,22383,True,30799
1250,22377,True,30799
1500,22358,True,30799
1750,22340,True,30799
2000,22329,True,30799
2250,22311,True,30799
2500,22291,True,30799
2750,22262,True,30799
3000,22242,True,30799
3250,22224,True,30799
3500,22181,True,30799
3750,22153,True,30799
4000,22130,True,30799
4250,22097,True,30799
4500,22072,True,30799
4750,22047,True,30799
5000,22007,True,30799
5250,21976,True,30799
5500,21948,True,30799
5750,21911,True,30799
6000,21863,True,30799
6250,21812,True,30799
6500,21765,True,30799
6750,21711,True,30799
7000,21651,True,30799
7250,21582,True,30799
7500,21515,True,30799
7750,21475,True,30799
8000,21418,True,30799
8250,21336,True,30799
8500,21262,True,30799
8750,21180,True,30799
9000,21103,True,30799
9250,21032,True,30799
9500,20938,True,30799
9750,20860,True,30799
10000,20768,True,30799
10250,20651,True,30799
10500,20582,True,30799
10750,20457,True,30799
11000,20357,True,30799
11250,20255,True,30799
11500,20146,True,30799
11750,19997,True,30799
12000,19880,True,30799
12250,19766,True,30799
12500,19598,True,30799
12750,19441,True,30799
13000,19267,True,30799
13250,19110,True,30799
13500,18943,True,30799
13750,18757,True,30799
14000,18580,True,30799
14250,18415,True,30799
14500,18235,True,30799
14750,18048,True,30799
15000,17826,True,30799
15250,17611,True,30799
15500,17395,True,30799
15750,17174,True,30799
16000,16929,True,30799
16250,16660,True,30799
16500,16370,True,30799
16750,16088,True,30799
17000,15827,True,30799
17250,15535,True,30799
17500,15190,True,30799
17750,14895,True,30799
18000,14559,True,30799
18250,14215,True,30799
18500,13876,True,30799
18750,13478,True,30799
19000,13152,True,30799
19250,12753,True,30799
19500,12336,True,30799
19750,11879,True,30799
20000,11387,True,30799
20250,10883,True,30799
20500,10326,True,30799
20750,9935,True,30799
21000,9811,True,30799
21250,9652,True,30799
21500,9494,True,30799
21750,9355,True,30799
22000,9214,True,30799
22250,9041,True,30799
22500,8873,True,30799
22750,8729,True,30799
23000,8511,True,30799
23250,8327,True,30799
23500,8130,True,30799
23750,7928,True,30799
24000,7714,True,30799
24250,7490,True,30799
24500,7290,True,30799
24750,7085,True,30799
25000,6870,True,30799
25250,6592,True,30799
25500,6311,True,30799
25750,6056,True,30799
26000,5719,True,30799
26250,5444,True,30799
26500,5145,True,30799
26750,4816,True,30799
27000,4446,True,30799
27250,4075,True,30799
27500,3615,True,30799
27750,3101,True,30799
28000,2596,True,30799
28250,2267,True,30799
28500,2055,True,30799
28750,1870,True,30799
29000,1650,True,30799
29250,1433,True,30799
29500,1187,True,30799
29750,868,True,30799
30000,635,True,30799
30250,446,True,30799
30500,202,True,30799
30750,24,True,30799
30799,0,True,30799
