iteration,n_conflicted_cells,converged,total_iterations
0,39889,True,54584
250,39879,True,54584
500,39867,True,54584
750,39861,True,54584
1000,39848,True,54584
1250,39838,True,54584
1500,39827,True,54584
1750,39814,True,54584
2000,39804,True,54584
2250,39797,True,54584
2500,39783,True,54584
2750,39770,True,54584
3000,39748,True,54584
3250,39733,True,54584
3500,39717,True,54584
3750,39703,True,54584
4000,39690,True,54584
4250,39677,True,54584
4500,39654,True,54584
4750,39641,True,54584
5000,39626,True,54584
5250,39599,True,54584
5500,39578,True,54584
5750,39551,True,54584
6000,39526,True,54584
6250,39498,True,54584
6500,39471,True,54584
6750,39445,True,54584
7000,39421,True,54584
7250,39387,True,54584
7500,39348,True,54584
7750,39308,True,54584
8000,39274,True,54584
8250,39233,True,54584
8500,39188,True,54584
8750,39148,True,54584
9000,39114,True,54584
9250,39076,True,54584
9500,39045,True,54584
9750,38999,True,54584
10000,38950,True,54584
10250,38904,True,54584
10500,38870,True,54584
10750,38841,True,54584
11000,38782,True,54584
11250,38728,True,54584
11500,38680,True,54584
11750,38640,True,54584
12000,38585,True,54584
12250,38523,True,54584
12500,38475,True,54584
12750,38405,True,54584
13000,38344,True,54584
13250,38267,True,54584
13500,38212,True,54584
13750,38149,True,54584
14000,38076,True,54584
14250,38009,True,54584
14500,37921,True,54584
14750,37852,True,54584
15000,37774,True,54584
15250,37692,True,54584
15500,37632,True,54584
15750,37535,True,54584
16000,37463,True,54584
16250,37391,True,54584
16500,37308,True,54584
16750,37234,True,54584
17000,37156,True,54584
17250,37048,True,54584
17500,36931,True,54584
17750,36844,True,54584
18000,36755,True,54584
18250,36654,True,54584
18500,36514,True,54584
18750,36409,True,54584
19000,36291,True,54584
19250,36154,True,54584
19500,36062,True,54584
19750,35929,True,54584
20000,35810,True,54584
20250,35696,True,54584
20500,35581,True,54584
20750,35425,True,54584
21000,35299,True,54584
21250,35170,True,54584
21500,35024,True,54584
21750,34864,True,54584
22000,34737,True,54584
22250,34578,True,54584
22500,34420,True,54584
22750,34284,True,54584
23000,34134,True,54584
23250,33965,True,54584
23500,33799,True,54584
23750,33614,True,54584
24000,33486,True,54584
24250,33310,True,54584
24500,33122,True,54584
24750,32939,True,54584
25000,32735,True,54584
25250,32553,True,54584
25500,32348,True,54584
25750,32133,True,54584
26000,31943,True,54584
26250,31735,True,54584
26500,31517,True,54584
26750,31305,True,54584
27000,31077,True,54584
27250,30836,True,54584
27500,30599,True,54584
27750,30348,True,54584
28000,30123,True,54584
28250,29877,True,54584
28500,29614,True,54584
28750,29355,True,54584
29000,29077,True,54584
29250,28837,True,54584
29500,28563,True,54584
29750,28270,True,54584
30000,28020,True,54584
30250,27740,True,54584
30500,27440,True,54584
30750,27110,True,54584
31000,26817,True,54584
31250,26505,True,54584
31500,26225,True,54584
31750,25894,True,54584
32000,25615,True,54584
32250,25224,True,54584
32500,24852,True,54584
32750,24399,True,54584
33000,24052,True,54584
33250,23704,True,54584
33500,23341,True,54584
33750,23000,True,54584
34000,22588,True,54584
34250,22154,True,54584
34500,21719,True,54584
34750,21277,True,54584
35000,20825,True,54584
35250,20366,True,54584
35500,19905,True,54584
35750,19411,True,54584
36000,18921,True,54584
36250,18411,True,54584
36500,17852,True,54584
36750,17517,True,54584
37000,17349,True,54584
37250,17213,True,54584
37500,17076,True,54584
37750,16935,True,54584
38000,16798,True,54584
38250,16649,True,54584
38500,16467,True,54584
38750,16322,True,54584
39000,16158,True,54584
39250,16014,True,54584
39500,15872,True,54584
39750,15688,True,54584
40000,15524,True,54584
40250,15387,True,54584
40500,15215,True,54584
40750,15080,True,54584
41000,14929,True,54584
41250,14733,True,54584
41500,14543,True,54584
41750,14369,True,54584
42000,14152,True,54584
42250,13940,True,54584
42500,13764,True,54584
42750,13549,True,54584
43000,13324,True,54584
43250,13110,True,54584
43500,12885,True,54584
43750,12648,True,54584
44000,12439,True,54584
44250,12198,True,54584
44500,11979,True,54584
44750,11729,True,54584
45000,11512,True,54584
45250,11247,True,54584
45500,10969,True,54584
45750,10689,True,54584
46000,10415,True,54584
46250,10163,True,54584
46500,9878,True,54584
46750,9531,True,54584
47000,9231,True,54584
47250,8916,True,54584
47500,8575,True,54584
47750,8228,True,54584
48000,7857,True,54584
48250,7531,True,54584
48500,7134,True,54584
48750,6682,True,54584
49000,6193,True,54584
49250,5675,True,54584
49500,5241,True,54584
49750,4642,True,54584
50000,4411,True,54584
50250,4253,True,54584
50500,4053,True,54584
50750,3812,True,54584
51000,3600,True,54584
51250,3373,True,54584
51500,3117,True,54584
51750,2907,True,54584
52000,2651,True,54584
52250,2408,True,54584
52500,2133,True,54584
52750,1795,True,54584
53000,1399,True,54584
53250,1158,True,54584
53500,974,True,54584
53750,728,True,54584
54000,444,True,54584
54250,276,True,54584
54500,77,True,54584
54584,0,True,54584
