iteration,n_conflicted_cells,converged,total_iterations
0,39877,True,55456
250,39870,True,55456
500,39865,True,55456
750,39857,True,55456
1000,39845,True,55456
1250,39838,True,55456
1500,39830,True,55456
1750,39817,True,55456
2000,39806,True,55456
2250,39796,True,55456
2500,39779,True,55456
2750,39760,True,55456
3000,39743,True,55456
3250,39730,True,55456
3500,39716,True,55456
3750,39691,True,55456
4000,39670,True,55456
4250,39649,True,55456
4500,39627,True,55456
4750,39608,True,55456
5000,39587,True,55456
5250,39561,True,55456
5500,39536,True,55456
5750,39511,True,55456
6000,39479,True,55456
6250,39451,True,55456
6500,39436,True,55456
6750,39409,True,55456
7000,39390,True,55456
7250,39358,True,55456
7500,39325,True,55456
7750,39280,True,55456
8000,39260,True,55456
8250,39232,True,55456
8500,39202,True,55456
8750,39165,True,55456
9000,39127,True,55456
9250,39101,True,55456
9500,39060,True,55456
9750,39023,True,55456
10000,38983,True,55456
10250,38937,True,55456
10500,38890,True,55456
10750,38858,True,55456
11000,38813,True,55456
11250,38766,True,55456
11500,38723,True,55456
11750,38670,True,55456
12000,38619,True,55456
12250,38566,True,55456
12500,38521,True,55456
12750,38458,True,55456
13000,38384,True,55456
13250,38337,True,55456
13500,38295,True,55456
13750,38210,True,55456
14000,38161,True,55456
14250,38099,True,55456
14500,38040,True,55456
14750,37969,True,55456
15000,37896,True,55456
15250,37834,True,55456
15500,37752,True,55456
15750,37680,True,55456
16000,37615,True,55456
16250,37530,True,55456
16500,37455,True,55456
16750,37364,True,55456
17000,37297,True,55456
17250,37210,True,55456
17500,37116,True,55456
17750,37032,True,55456
18000,36925,True,55456
18250,36843,True,55456
18500,36720,True,55456
18750,36621,True,55456
19000,36513,True,55456
19250,36414,True,55456
19500,36309,True,55456
19750,36197,True,55456
20000,36088,True,55456
20250,35957,True,55456
20500,35843,True,55456
20750,35730,True,55456
21000,35613,True,55456
21250,35483,True,55456
21500,35354,True,55456
21750,35198,True,55456
22000,35058,True,55456
22250,34910,True,55456
22500,34771,True,55456
22750,34640,True,55456
23000,34490,True,55456
23250,34357,True,55456
23500,34199,True,55456
23750,34061,True,55456
24000,33910,True,55456
24250,33770,True,55456
24500,33574,True,55456
24750,33370,True,55456
25000,33193,True,55456
25250,33016,True,55456
25500,32798,True,55456
25750,32577,True,55456
26000,32373,True,55456
26250,32127,True,55456
26500,31928,True,55456
26750,31755,True,55456
27000,31499,True,55456
27250,31268,True,55456
27500,31035,True,55456
27750,30836,True,55456
28000,30592,True,55456
28250,30350,True,55456
28500,30100,True,55456
28750,29876,True,55456
29000,29613,True,55456
29250,29300,True,55456
29500,29049,True,55456
29750,28792,True,55456
30000,28469,True,55456
30250,28181,True,55456
30500,27865,True,55456
30750,27559,True,55456
31000,27201,True,55456
31250,26860,True,55456
31500,26558,True,55456
31750,26224,True,55456
32000,25920,True,55456
32250,25607,True,55456
32500,25319,True,55456
32750,24910,True,55456
33000,24514,True,55456
33250,24123,True,55456
33500,23736,True,55456
33750,23354,True,55456
34000,22875,True,55456
34250,22462,True,55456
34500,21954,True,55456
34750,21492,True,55456
35000,21008,True,55456
35250,20567,True,55456
35500,20108,True,55456
35750,19596,True,55456
36000,19053,True,55456
36250,18547,True,55456
36500,18062,True,55456
36750,17679,True,55456
37000,17542,True,55456
37250,17414,True,55456
37500,17298,True,55456
37750,17185,True,55456
38000,17077,True,55456
38250,16911,True,55456
38500,16765,True,55456
38750,16624,True,55456
39000,16475,True,55456
39250,16351,True,55456
39500,16213,True,55456
39750,16072,True,55456
40000,15879,True,55456
40250,15705,True,55456
40500,15513,True,55456
40750,15356,True,55456
41000,15187,True,55456
41250,15005,True,55456
41500,14839,True,55456
41750,14671,True,55456
42000,14496,True,55456
42250,14286,True,55456
42500,14107,True,55456
42750,13898,True,55456
43000,13681,True,55456
43250,13497,True,55456
43500,13298,True,55456
43750,13117,True,55456
44000,12898,True,55456
44250,12645,True,55456
44500,12436,True,55456
44750,12198,True,55456
45000,11971,True,55456
45250,11731,True,55456
45500,11473,True,55456
45750,11232,True,55456
46000,10942,True,55456
46250,10649,True,55456
46500,10363,True,55456
46750,10053,True,55456
47000,9724,True,55456
47250,9385,True,55456
47500,9064,True,55456
47750,8719,True,55456
48000,8380,True,55456
48250,7986,True,55456
48500,7618,True,55456
48750,7194,True,55456
49000,6814,True,55456
49250,6353,True,55456
49500,5902,True,55456
49750,5427,True,55456
50000,4927,True,55456
50250,4715,True,55456
50500,4566,True,55456
50750,4380,True,55456
51000,4198,True,55456
51250,4011,True,55456
51500,3844,True,55456
51750,3614,True,55456
52000,3375,True,55456
52250,3129,True,55456
52500,2912,True,55456
52750,2651,True,55456
53000,2398,True,55456
53250,2094,True,55456
53500,1734,True,55456
53750,1475,True,55456
54000,1269,True,55456
54250,1090,True,55456
54500,854,True,55456
54750,546,True,55456
55000,372,True,55456
55250,158,True,55456
55456,0,True,55456
