iteration,n_conflicted_cells,converged,total_iterations
0,39900,True,55800
250,39889,True,55800
500,39874,True,55800
750,39862,True,55800
1000,39851,True,55800
1250,39837,True,55800
1500,39824,True,55800
1750,39814,True,55800
2000,39803,True,55800
2250,39792,True,55800
2500,39772,True,55800
2750,39759,True,55800
3000,39747,True,55800
3250,39736,True,55800
3500,39726,True,55800
3750,39701,True,55800
4000,39685,True,55800
4250,39671,True,55800
4500,39653,True,55800
4750,39641,True,55800
5000,39616,True,55800
5250,39587,True,55800
5500,39571,True,55800
5750,39549,True,55800
6000,39529,True,55800
6250,39505,True,55800
6500,39474,True,55800
6750,39454,True,55800
7000,39425,True,55800
7250,39396,True,55800
7500,39370,True,55800
7750,39345,True,55800
8000,39316,True,55800
8250,39289,True,55800
8500,39255,True,55800
8750,39215,True,55800
9000,39197,True,55800
9250,39164,True,55800
9500,39119,True,55800
9750,39081,True,55800
10000,39035,True,55800
10250,38983,True,55800
10500,38945,True,55800
10750,38893,True,55800
11000,38836,True,55800
11250,38798,True,55800
11500,38745,True,55800
11750,38711,True,55800
12000,38666,True,55800
12250,38609,True,55800
12500,38551,True,55800
12750,38497,True,55800
13000,38447,True,55800
13250,38389,True,55800
13500,38323,True,55800
13750,38262,True,55800
14000,38199,True,55800
14250,38123,True,55800
14500,38066,True,55800
14750,37995,True,55800
15000,37909,True,55800
15250,37818,True,55800
15500,37747,True,55800
15750,37662,True,55800
16000,37591,True,55800
16250,37515,True,55800
16500,37427,True,55800
16750,37357,True,55800
17000,37272,True,55800
17250,37156,True,55800
17500,37068,True,55800
17750,36992,True,55800
18000,36917,True,55800
18250,36829,True,55800
18500,36743,True,55800
18750,36639,True,55800
19000,36530,True,55800
19250,36452,True,55800
19500,36359,True,55800
19750,36233,True,55800
20000,36107,True,55800
20250,35988,True,55800
20500,35876,True,55800
20750,35752,True,55800
21000,35637,True,55800
21250,35510,True,55800
21500,35393,True,55800
21750,35241,True,55800
22000,35113,True,55800
22250,34953,True,55800
22500,34797,True,55800
22750,34650,True,55800
23000,34498,True,55800
23250,34305,True,55800
23500,34127,True,55800
23750,33987,True,55800
24000,33781,True,55800
24250,33629,True,55800
24500,33434,True,55800
24750,33272,True,55800
25000,33098,True,55800
25250,32937,True,55800
25500,32699,True,55800
25750,32517,True,55800
26000,32306,True,55800
26250,32114,True,55800
26500,31948,True,55800
26750,31746,True,55800
27000,31541,True,55800
27250,31327,True,55800
27500,31109,True,55800
27750,30880,True,55800
28000,30629,True,55800
28250,30390,True,55800
28500,30138,True,55800
28750,29873,True,55800
29000,29631,True,55800
29250,29379,True,55800
29500,29126,True,55800
29750,28867,True,55800
30000,28600,True,55800
30250,28359,True,55800
30500,28088,True,55800
30750,27788,True,55800
31000,27502,True,55800
31250,27168,True,55800
31500,26852,True,55800
31750,26561,True,55800
32000,26221,True,55800
32250,25872,True,55800
32500,25504,True,55800
32750,25092,True,55800
33000,24738,True,55800
33250,24404,True,55800
33500,24001,True,55800
33750,23691,True,55800
34000,23274,True,55800
34250,22856,True,55800
34500,22427,True,55800
34750,21979,True,55800
35000,21503,True,55800
35250,21066,True,55800
35500,20553,True,55800
35750,20077,True,55800
36000,19582,True,55800
36250,19050,True,55800
36500,18526,True,55800
36750,17988,True,55800
37000,17835,True,55800
37250,17712,True,55800
37500,17573,True,55800
37750,17455,True,55800
38000,17307,True,55800
38250,17164,True,55800
38500,17037,True,55800
38750,16896,True,55800
39000,16762,True,55800
39250,16613,True,55800
39500,16462,True,55800
39750,16327,True,55800
40000,16198,True,55800
40250,16028,True,55800
40500,15861,True,55800
40750,15629,True,55800
41000,15480,True,55800
41250,15307,True,55800
41500,15111,True,55800
41750,14942,True,55800
42000,14773,True,55800
42250,14598,True,55800
42500,14395,True,55800
42750,14213,True,55800
43000,14032,True,55800
43250,13834,True,55800
43500,13610,True,55800
43750,13406,True,55800
44000,13222,True,55800
44250,13004,True,55800
44500,12757,True,55800
44750,12505,True,55800
45000,12285,True,55800
45250,12033,True,55800
45500,11790,True,55800
45750,11512,True,55800
46000,11227,True,55800
46250,10939,True,55800
46500,10676,True,55800
46750,10390,True,55800
47000,10081,True,55800
47250,9837,True,55800
47500,9510,True,55800
47750,9229,True,55800
48000,8862,True,55800
48250,8495,True,55800
48500,8141,True,55800
48750,7818,True,55800
49000,7400,True,55800
49250,6976,True,55800
49500,6505,True,55800
49750,6070,True,55800
50000,5581,True,55800
50250,5109,True,55800
50500,4834,True,55800
50750,4643,True,55800
51000,4495,True,55800
51250,4319,True,55800
51500,4175,True,55800
51750,3983,True,55800
52000,3745,True,55800
52250,3529,True,55800
52500,3324,True,55800
52750,3063,True,55800
53000,2761,True,55800
53250,2474,True,55800
53500,2185,True,55800
53750,1851,True,55800
54000,1513,True,55800
54250,1354,True,55800
54500,1156,True,55800
54750,940,True,55800
55000,682,True,55800
55250,429,True,55800
55500,213,True,55800
55750,37,True,55800
55800,0,True,55800
