iteration,n_conflicted_cells,converged,total_iterations
0,39881,True,55287
250,39876,True,55287
500,39869,True,55287
750,39861,True,55287
1000,39851,True,55287
1250,39838,True,55287
1500,39819,True,55287
1750,39807,True,55287
2000,39793,True,55287
2250,39772,True,55287
2500,39756,True,55287
2750,39747,True,55287
3000,39730,True,55287
3250,39723,True,55287
3500,39710,True,55287
3750,39701,True,55287
4000,39685,True,55287
4250,39659,True,55287
4500,39637,True,55287
4750,39610,True,55287
5000,39589,True,55287
5250,39567,True,55287
5500,39547,True,55287
5750,39534,True,55287
6000,39507,True,55287
6250,39489,True,55287
6500,39457,True,55287
6750,39426,True,55287
7000,39412,True,55287
7250,39381,True,55287
7500,39345,True,55287
7750,39312,True,55287
8000,39275,True,55287
8250,39237,True,55287
8500,39194,True,55287
8750,39151,True,55287
9000,39124,True,55287
9250,39083,True,55287
9500,39050,True,55287
9750,39016,True,55287
10000,38980,True,55287
10250,38943,True,55287
10500,38911,True,55287
10750,38866,True,55287
11000,38831,True,55287
11250,38791,True,55287
11500,38739,True,55287
11750,38693,True,55287
12000,38647,True,55287
12250,38581,True,55287
12500,38522,True,55287
12750,38470,True,55287
13000,38415,True,55287
13250,38350,True,55287
13500,38273,True,55287
13750,38211,True,55287
14000,38168,True,55287
14250,38095,True,55287
14500,38023,True,55287
14750,37937,True,55287
15000,37861,True,55287
15250,37770,True,55287
15500,37696,True,55287
15750,37607,True,55287
16000,37523,True,55287
16250,37431,True,55287
16500,37332,True,55287
16750,37255,True,55287
17000,37172,True,55287
17250,37087,True,55287
17500,36990,True,55287
17750,36894,True,55287
18000,36797,True,55287
18250,36698,True,55287
18500,36581,True,55287
18750,36494,True,55287
19000,36390,True,55287
19250,36280,True,55287
19500,36149,True,55287
19750,36039,True,55287
20000,35909,True,55287
20250,35816,True,55287
20500,35687,True,55287
20750,35575,True,55287
21000,35460,True,55287
21250,35338,True,55287
21500,35215,True,55287
21750,35084,True,55287
22000,34975,True,55287
22250,34848,True,55287
22500,34698,True,55287
22750,34565,True,55287
23000,34418,True,55287
23250,34262,True,55287
23500,34101,True,55287
23750,33943,True,55287
24000,33761,True,55287
24250,33589,True,55287
24500,33412,True,55287
24750,33212,True,55287
25000,33020,True,55287
25250,32841,True,55287
25500,32657,True,55287
25750,32502,True,55287
26000,32303,True,55287
26250,32110,True,55287
26500,31891,True,55287
26750,31645,True,55287
27000,31438,True,55287
27250,31219,True,55287
27500,30993,True,55287
27750,30837,True,55287
28000,30612,True,55287
28250,30364,True,55287
28500,30134,True,55287
28750,29873,True,55287
29000,29613,True,55287
29250,29367,True,55287
29500,29048,True,55287
29750,28798,True,55287
30000,28520,True,55287
30250,28259,True,55287
30500,27975,True,55287
30750,27727,True,55287
31000,27374,True,55287
31250,27060,True,55287
31500,26745,True,55287
31750,26418,True,55287
32000,26071,True,55287
32250,25739,True,55287
32500,25338,True,55287
32750,24931,True,55287
33000,24512,True,55287
33250,24157,True,55287
33500,23710,True,55287
33750,23325,True,55287
34000,22929,True,55287
34250,22483,True,55287
34500,22033,True,55287
34750,21590,True,55287
35000,21151,True,55287
35250,20637,True,55287
35500,20105,True,55287
35750,19604,True,55287
36000,19133,True,55287
36250,18621,True,55287
36500,18121,True,55287
36750,17850,True,55287
37000,17732,True,55287
37250,17587,True,55287
37500,17454,True,55287
37750,17303,True,55287
38000,17133,True,55287
38250,17011,True,55287
38500,16839,True,55287
38750,16711,True,55287
39000,16560,True,55287
39250,16389,True,55287
39500,16233,True,55287
39750,16084,True,55287
40000,15946,True,55287
40250,15751,True,55287
40500,15604,True,55287
40750,15414,True,55287
41000,15258,True,55287
41250,15100,True,55287
41500,14924,True,55287
41750,14748,True,55287
42000,14549,True,55287
42250,14371,True,55287
42500,14186,True,55287
42750,14004,True,55287
43000,13794,True,55287
43250,13613,True,55287
43500,13427,True,55287
43750,13240,True,55287
44000,13013,True,55287
44250,12812,True,55287
44500,12569,True,55287
44750,12308,True,55287
45000,12067,True,55287
45250,11810,True,55287
45500,11511,True,55287
45750,11267,True,55287
46000,11017,True,55287
46250,10753,True,55287
46500,10474,True,55287
46750,10239,True,55287
47000,9925,True,55287
47250,9626,True,55287
47500,9304,True,55287
47750,8904,True,55287
48000,8522,True,55287
48250,8170,True,55287
48500,7768,True,55287
48750,7386,True,55287
49000,6976,True,55287
49250,6547,True,55287
49500,6036,True,55287
49750,5579,True,55287
50000,5047,True,55287
50250,4741,True,55287
50500,4549,True,55287
50750,4364,True,55287
51000,4181,True,55287
51250,3993,True,55287
51500,3801,True,55287
51750,3595,True,55287
52000,3362,True,55287
52250,3128,True,55287
52500,2885,True,55287
52750,2656,True,55287
53000,2303,True,55287
53250,1974,True,55287
53500,1583,True,55287
53750,1311,True,55287
54000,1111,True,55287
54250,920,True,55287
54500,665,True,55287
54750,403,True,55287
55000,196,True,55287
55250,26,True,55287
55287,0,True,55287
