iteration,n_conflicted_cells,converged,total_iterations
0,39874,True,54633
250,39866,True,54633
500,39854,True,54633
750,39849,True,54633
1000,39838,True,54633
1250,39829,True,54633
1500,39820,True,54633
1750,39801,True,54633
2000,39785,True,54633
2250,39776,True,54633
2500,39756,True,54633
2750,39747,True,54633
3000,39734,True,54633
3250,39718,True,54633
3500,39695,True,54633
3750,39681,True,54633
4000,39671,True,54633
4250,39656,True,54633
4500,39641,True,54633
4750,39617,True,54633
5000,39587,True,54633
5250,39565,True,54633
5500,39549,True,54633
5750,39519,True,54633
6000,39495,True,54633
6250,39469,True,54633
6500,39429,True,54633
6750,39403,True,54633
7000,39380,True,54633
7250,39352,True,54633
7500,39320,True,54633
7750,39296,True,54633
8000,39266,True,54633
8250,39230,True,54633
8500,39183,True,54633
8750,39148,True,54633
9000,39108,True,54633
9250,39081,True,54633
9500,39045,True,54633
9750,38998,True,54633
10000,38960,True,54633
10250,38928,True,54633
10500,38883,True,54633
10750,38849,True,54633
11000,38804,True,54633
11250,38760,True,54633
11500,38710,True,54633
11750,38656,True,54633
12000,38620,True,54633
12250,38566,True,54633
12500,38506,True,54633
12750,38436,True,54633
13000,38376,True,54633
13250,38312,True,54633
13500,38245,True,54633
13750,38203,True,54633
14000,38120,True,54633
14250,38043,True,54633
14500,37984,True,54633
14750,37903,True,54633
15000,37834,True,54633
15250,37740,True,54633
15500,37654,True,54633
15750,37589,True,54633
16000,37513,True,54633
16250,37439,True,54633
16500,37342,True,54633
16750,37258,True,54633
17000,37164,True,54633
17250,37085,True,54633
17500,36987,True,54633
17750,36880,True,54633
18000,36781,True,54633
18250,36702,True,54633
18500,36569,True,54633
18750,36454,True,54633
19000,36337,True,54633
19250,36221,True,54633
19500,36083,True,54633
19750,35972,True,54633
20000,35855,True,54633
20250,35744,True,54633
20500,35625,True,54633
20750,35475,True,54633
21000,35353,True,54633
21250,35214,True,54633
21500,35073,True,54633
21750,34915,True,54633
22000,34739,True,54633
22250,34597,True,54633
22500,34453,True,54633
22750,34301,True,54633
23000,34168,True,54633
23250,34008,True,54633
23500,33867,True,54633
23750,33697,True,54633
24000,33542,True,54633
24250,33383,True,54633
24500,33177,True,54633
24750,33003,True,54633
25000,32794,True,54633
25250,32595,True,54633
25500,32377,True,54633
25750,32160,True,54633
26000,31922,True,54633
26250,31706,True,54633
26500,31517,True,54633
26750,31275,True,54633
27000,31049,True,54633
27250,30849,True,54633
27500,30625,True,54633
27750,30414,True,54633
28000,30200,True,54633
28250,29968,True,54633
28500,29779,True,54633
28750,29513,True,54633
29000,29218,True,54633
29250,28955,True,54633
29500,28672,True,54633
29750,28434,True,54633
30000,28134,True,54633
30250,27814,True,54633
30500,27522,True,54633
30750,27230,True,54633
31000,26931,True,54633
31250,26595,True,54633
31500,26261,True,54633
31750,25905,True,54633
32000,25529,True,54633
32250,25157,True,54633
32500,24801,True,54633
32750,24428,True,54633
33000,24043,True,54633
33250,23638,True,54633
33500,23260,True,54633
33750,22905,True,54633
34000,22509,True,54633
34250,22100,True,54633
34500,21675,True,54633
34750,21286,True,54633
35000,20837,True,54633
35250,20349,True,54633
35500,19845,True,54633
35750,19362,True,54633
36000,18873,True,54633
36250,18346,True,54633
36500,17853,True,54633
36750,17591,True,54633
37000,17452,True,54633
37250,17317,True,54633
37500,17207,True,54633
37750,17082,True,54633
38000,16949,True,54633
38250,16814,True,54633
38500,16642,True,54633
38750,16480,True,54633
39000,16310,True,54633
39250,16159,True,54633
39500,15956,True,54633
39750,15766,True,54633
40000,15592,True,54633
40250,15403,True,54633
40500,15198,True,54633
40750,15000,True,54633
41000,14832,True,54633
41250,14693,True,54633
41500,14545,True,54633
41750,14370,True,54633
42000,14146,True,54633
42250,13979,True,54633
42500,13775,True,54633
42750,13614,True,54633
43000,13410,True,54633
43250,13222,True,54633
43500,12988,True,54633
43750,12753,True,54633
44000,12513,True,54633
44250,12284,True,54633
44500,12055,True,54633
44750,11837,True,54633
45000,11561,True,54633
45250,11272,True,54633
45500,11009,True,54633
45750,10748,True,54633
46000,10447,True,54633
46250,10155,True,54633
46500,9877,True,54633
46750,9524,True,54633
47000,9195,True,54633
47250,8831,True,54633
47500,8513,True,54633
47750,8179,True,54633
48000,7812,True,54633
48250,7409,True,54633
48500,6950,True,54633
48750,6550,True,54633
49000,6079,True,54633
49250,5612,True,54633
49500,5104,True,54633
49750,4559,True,54633
50000,4296,True,54633
50250,4095,True,54633
50500,3923,True,54633
50750,3740,True,54633
51000,3543,True,54633
51250,3349,True,54633
51500,3120,True,54633
51750,2889,True,54633
52000,2664,True,54633
52250,2391,True,54633
52500,2128,True,54633
52750,1756,True,54633
53000,1366,True,54633
53250,1172,True,54633
53500,983,True,54633
53750,758,True,54633
54000,464,True,54633
54250,268,True,54633
54500,82,True,54633
54633,0,True,54633
