iteration,n_conflicted_cells,converged,total_iterations
0,9534,True,13453
250,9457,True,13453
500,9361,True,13453
750,9273,True,13453
1000,9194,True,13453
1250,9076,True,13453
1500,8981,True,13453
1750,8870,True,13453
2000,8774,True,13453
2250,8649,True,13453
2500,8531,True,13453
2750,8417,True,13453
3000,8295,True,13453
3250,8129,True,13453
3500,7991,True,13453
3750,7826,True,13453
4000,7690,True,13453
4250,7522,True,13453
4500,7350,True,13453
4750,7173,True,13453
5000,6970,True,13453
5250,6772,True,13453
5500,6546,True,13453
5750,6354,True,13453
6000,6132,True,13453
6250,5886,True,13453
6500,5669,True,13453
6750,5408,True,13453
7000,5119,True,13453
7250,4780,True,13453
7500,4505,True,13453
7750,4163,True,13453
8000,3841,True,13453
8250,3713,True,13453
8500,3578,True,13453
8750,3422,True,13453
9000,3273,True,13453
9250,3112,True,13453
9500,2885,True,13453
9750,2688,True,13453
10000,2464,True,13453
10250,2242,True,13453
10500,1970,True,13453
10750,1727,True,13453
11000,1467,True,13453
11250,1347,True,13453
11500,1200,True,13453
11750,1023,True,13453
12000,832,True,13453
12250,672,True,13453
12500,539,True,13453
12750,368,True,13453
13000,210,True,13453
13250,80,True,13453
13453,0,True,13453
