iteration,n_conflicted_cells,converged,total_iterations
0,9494,True,13993
250,9412,True,13993
500,9328,True,13993
750,9246,True,13993
1000,9147,True,13993
1250,9064,True,13993
1500,8947,True,13993
1750,8847,True,13993
2000,8739,True,13993
2250,8633,True,13993
2500,8531,True,13993
2750,8416,True,13993
3000,8285,True,13993
3250,8160,True,13993
3500,8032,True,13993
3750,7891,True,13993
4000,7705,True,13993
4250,7552,True,13993
4500,7412,True,13993
4750,7226,True,13993
5000,7059,True,13993
5250,6863,True,13993
5500,6681,True,13993
5750,6470,True,13993
6000,6235,True,13993
6250,6017,True,13993
6500,5793,True,13993
6750,5533,True,13993
7000,5318,True,13993
7250,5053,True,13993
7500,4775,True,13993
7750,4445,True,13993
8000,4129,True,13993
8250,3990,True,13993
8500,3852,True,13993
8750,3696,True,13993
9000,3540,True,13993
9250,3379,True,13993
9500,3222,True,13993
9750,3028,True,13993
10000,2828,True,13993
10250,2618,True,13993
10500,2379,True,13993
10750,2131,True,13993
11000,1828,True,13993
11250,1603,True,13993
11500,1468,True,13993
11750,1314,True,13993
12000,1157,True,13993
12250,944,True,13993
12500,740,True,13993
12750,603,True,13993
13000,429,True,13993
13250,320,True,13993
13500,192,True,13993
13750,90,True,13993
13993,0,True,13993
