iteration,n_conflicted_cells,converged,total_iterations
0,9546,True,13557
250,9463,True,13557
500,9387,True,13557
750,9306,True,13557
1000,9218,True,13557
1250,9107,True,13557
1500,9004,True,13557
1750,8894,True,13557
2000,8808,True,13557
2250,8697,True,13557
2500,8587,True,13557
2750,8461,True,13557
3000,8296,True,13557
3250,8139,True,13557
3500,7974,True,13557
3750,7833,True,13557
4000,7704,True,13557
4250,7525,True,13557
4500,7363,True,13557
4750,7164,True,13557
5000,6986,True,13557
5250,6771,True,13557
5500,6573,True,13557
5750,6373,True,13557
6000,6147,True,13557
6250,5915,True,13557
6500,5662,True,13557
6750,5429,True,13557
7000,5146,True,13557
7250,4902,True,13557
7500,4598,True,13557
7750,4312,True,13557
8000,3995,True,13557
8250,3881,True,13557
8500,3738,True,13557
8750,3591,True,13557
9000,3474,True,13557
9250,3297,True,13557
9500,3126,True,13557
9750,2938,True,13557
10000,2733,True,13557
10250,2531,True,13557
10500,2295,True,13557
10750,2051,True,13557
11000,1763,True,13557
11250,1612,True,13557
11500,1445,True,13557
11750,1274,True,13557
12000,1124,True,13557
12250,875,True,13557
12500,691,True,13557
12750,543,True,13557
13000,353,True,13557
13250,188,True,13557
13500,26,True,13557
13557,0,True,13557
