iteration,n_conflicted_cells,converged,total_iterations
0,9954,True,13417
250,9942,True,13417
500,9924,True,13417
750,9903,True,13417
1000,9883,True,13417
1250,9863,True,13417
1500,9821,True,13417
1750,9789,True,13417
2000,9762,True,13417
2250,9732,True,13417
2500,9682,True,13417
2750,9626,True,13417
3000,9566,True,13417
3250,9508,True,13417
3500,9437,True,13417
3750,9349,True,13417
4000,9265,True,13417
4250,9162,True,13417
4500,9063,True,13417
4750,8951,True,13417
5000,8823,True,13417
5250,8683,True,13417
5500,8531,True,13417
5750,8405,True,13417
6000,8254,True,13417
6250,8010,True,13417
6500,7835,True,13417
6750,7627,True,13417
7000,7344,True,13417
7250,7099,True,13417
7500,6770,True,13417
7750,6500,True,13417
8000,6205,True,13417
8250,5804,True,13417
8500,5438,True,13417
8750,4967,True,13417
9000,4437,True,13417
9250,4189,True,13417
9500,3997,True,13417
9750,3827,True,13417
10000,3652,True,13417
10250,3480,True,13417
10500,3261,True,13417
10750,3075,True,13417
11000,2832,True,13417
11250,2538,True,13417
11500,2258,True,13417
11750,1925,True,13417
12000,1492,True,13417
12250,1043,True,13417
12500,857,True,13417
12750,622,True,13417
13000,336,True,13417
13250,127,True,13417
13417,0,True,13417
