iteration,n_conflicted_cells,converged,total_iterations
0,9991,True,20647
250,9984,True,20647
500,9979,True,20647
750,9976,True,20647
1000,9963,True,20647
1250,9951,True,20647
1500,9939,True,20647
1750,9921,True,20647
2000,9899,True,20647
2250,9878,True,20647
2500,9849,True,20647
2750,9817,True,20647
3000,9795,True,20647
3250,9768,True,20647
3500,9736,True,20647
3750,9694,True,20647
4000,9647,True,20647
4250,9594,True,20647
4500,9521,True,20647
4750,9450,True,20647
5000,9369,True,20647
5250,9257,True,20647
5500,9171,True,20647
5750,9051,True,20647
6000,8921,True,20647
6250,8791,True,20647
6500,8669,True,20647
6750,8512,True,20647
7000,8345,True,20647
7250,8157,True,20647
7500,7954,True,20647
7750,7717,True,20647
8000,7494,True,20647
8250,7267,True,20647
8500,7011,True,20647
8750,6732,True,20647
9000,6449,True,20647
9250,6061,True,20647
9500,5802,True,20647
9750,5714,True,20647
10000,5609,True,20647
10250,5541,True,20647
10500,5420,True,20647
10750,5309,True,20647
11000,5203,True,20647
11250,5088,True,20647
11500,4964,True,20647
11750,4846,True,20647
12000,4681,True,20647
12250,4540,True,20647
12500,4384,True,20647
12750,4218,True,20647
13000,4067,True,20647
13250,3897,True,20647
13500,3685,True,20647
13750,3468,True,20647
14000,3204,True,20647
14250,2960,True,20647
14500,2877,True,20647
14750,2776,True,20647
15000,2690,True,20647
15250,2610,True,20647
15500,2510,True,20647
15750,2379,True,20647
16000,2229,True,20647
16250,2104,True,20647
16500,1955,True,20647
16750,1789,True,20647
17000,1710,True,20647
17250,1641,True,20647
17500,1571,True,20647
17750,1443,True,20647
18000,1276,True,20647
18250,1127,True,20647
18500,1043,True,20647
18750,953,True,20647
19000,828,True,20647
19250,693,True,20647
19500,590,True,20647
19750,459,True,20647
20000,370,True,20647
20250,238,True,20647
20500,82,True,20647
20647,0,True,20647
