iteration,n_conflicted_cells,converged,total_iterations
0,9985,False,29500
250,9980,False,29500
500,9973,False,29500
750,9966,False,29500
1000,9957,False,29500
1250,9950,False,29500
1500,9937,False,29500
1750,9923,False,29500
2000,9903,False,29500
2250,9881,False,29500
2500,9854,False,29500
2750,9824,False,29500
3000,9796,False,29500
3250,9753,False,29500
3500,9725,False,29500
3750,9684,False,29500
4000,9619,False,29500
4250,9544,False,29500
4500,9487,False,29500
4750,9404,False,29500
5000,9329,False,29500
5250,9251,False,29500
5500,9170,False,29500
5750,9061,False,29500
6000,8936,False,29500
6250,8824,False,29500
6500,8688,False,29500
6750,8540,False,29500
7000,8395,False,29500
7250,8219,False,29500
7500,8011,False,29500
7750,7819,False,29500
8000,7554,False,29500
8250,7306,False,29500
8500,7052,False,29500
8750,6769,False,29500
9000,6435,False,29500
9250,6062,False,29500
9500,5792,False,29500
9750,5715,False,29500
10000,5631,False,29500
10250,5532,False,29500
10500,5446,False,29500
10750,5369,False,29500
11000,5245,False,29500
11250,5140,False,29500
11500,5050,False,29500
11750,4921,False,29500
12000,4756,False,29500
12250,4630,False,29500
12500,4482,False,29500
12750,4292,False,29500
13000,4092,False,29500
13250,3904,False,29500
13500,3631,False,29500
13750,3383,False,29500
14000,3088,False,29500
14250,2788,False,29500
14500,2688,False,29500
14750,2572,False,29500
15000,2416,False,29500
15250,2298,False,29500
15500,2163,False,29500
15750,2006,False,29500
16000,1813,False,29500
16250,1579,False,29500
16500,1334,False,29500
16750,1254,False,29500
17000,1128,False,29500
17250,967,False,29500
17500,761,False,29500
17750,633,False,29500
18000,498,False,29500
18250,337,False,29500
18500,225,False,29500
18750,138,False,29500
19000,66,False,29500
19250,23,False,29500
19500,12,False,29500
19750,12,False,29500
20000,12,False,29500
20250,12,False,29500
20500,12,False,29500
20750,12,False,29500
21000,12,False,29500
21250,12,False,29500
21500,12,False,29500
21750,12,False,29500
22000,12,False,29500
22250,12,False,29500
22500,12,False,29500
22750,12,False,29500
23000,12,False,29500
23250,12,False,29500
23500,12,False,29500
23750,12,False,29500
24000,12,False,29500
24250,12,False,29500
24500,12,False,29500
24750,12,False,29500
25000,12,False,29500
25250,12,False,29500
25500,12,False,29500
25750,12,False,29500
26000,12,False,29500
26250,12,False,29500
26500,12,False,29500
26750,12,False,29500
27000,12,False,29500
27250,12,False,29500
27500,12,False,29500
27750,12,False,29500
28000,12,False,29500
28250,12,False,29500
28500,12,False,29500
28750,12,False,29500
29000,12,False,29500
29250,12,False,29500
29500,12,False,29500
