iteration,n_conflicted_cells,converged,total_iterations
0,5605,True,7655
250,5593,True,7655
500,5578,True,7655
750,5557,True,7655
1000,5534,True,7655
1250,5503,True,7655
1500,5458,True,7655
1750,5430,True,7655
2000,5360,True,7655
2250,5300,True,7655
2500,5207,True,7655
2750,5100,True,7655
3000,4972,True,7655
3250,4823,True,7655
3500,4632,True,7655
3750,4427,True,7655
4000,4168,True,7655
4250,3929,True,7655
4500,3614,True,7655
4750,3270,True,7655
5000,2779,True,7655
5250,2338,True,7655
5500,2190,True,7655
5750,2044,True,7655
6000,1818,True,7655
6250,1592,True,7655
6500,1368,True,7655
6750,1050,True,7655
7000,681,True,7655
7250,461,True,7655
7500,160,True,7655
7655,0,True,7655
