iteration,n_conflicted_cells,converged,total_iterations
0,5602,True,7681
250,5590,True,7681
500,5585,True,7681
750,5573,True,7681
1000,5551,True,7681
1250,5518,True,7681
1500,5476,True,7681
1750,5429,True,7681
2000,5354,True,7681
2250,5294,True,7681
2500,5194,True,7681
2750,5094,True,7681
3000,4995,True,7681
3250,4874,True,7681
3500,4664,True,7681
3750,4443,True,7681
4000,4252,True,7681
4250,3995,True,7681
4500,3695,True,7681
4750,3311,True,7681
5000,2864,True,7681
5250,2418,True,7681
5500,2273,True,7681
5750,2115,True,7681
6000,1933,True,7681
6250,1687,True,7681
6500,1399,True,7681
6750,1119,True,7681
7000,640,True,7681
7250,442,True,7681
7500,169,True,7681
7681,0,True,7681
