iteration,n_conflicted_cells,converged,total_iterations
0,5622,True,10716
250,5616,True,10716
500,5598,True,10716
750,5593,True,10716
1000,5577,True,10716
1250,5559,True,10716
1500,5526,True,10716
1750,5492,True,10716
2000,5453,True,10716
2250,5403,True,10716
2500,5332,True,10716
2750,5226,True,10716
3000,5140,True,10716
3250,5018,True,10716
3500,4898,True,10716
3750,4746,True,10716
4000,4552,True,10716
4250,4345,True,10716
4500,4125,True,10716
4750,3883,True,10716
5000,3581,True,10716
5250,3204,True,10716
5500,3116,True,10716
5750,3009,True,10716
6000,2896,True,10716
6250,2800,True,10716
6500,2672,True,10716
6750,2587,True,10716
7000,2377,True,10716
7250,2158,True,10716
7500,1941,True,10716
7750,1660,True,10716
8000,1507,True,10716
8250,1404,True,10716
8500,1277,True,10716
8750,1140,True,10716
9000,941,True,10716
9250,755,True,10716
9500,641,True,10716
9750,475,True,10716
10000,369,True,10716
10250,230,True,10716
10500,117,True,10716
10716,0,True,10716
