iteration,n_conflicted_cells,converged,total_iterations
0,2496,True,5200
250,2487,True,5200
500,2472,True,5200
750,2446,True,5200
1000,2394,True,5200
1250,2324,True,5200
1500,2216,True,5200
1750,2071,True,5200
2000,1853,True,5200
2250,1567,True,5200
2500,1417,True,5200
2750,1323,True,5200
3000,1183,True,5200
3250,1054,True,5200
3500,836,True,5200
3750,732,True,5200
4000,619,True,5200
4250,454,True,5200
4500,359,True,5200
4750,238,True,5200
5000,102,True,5200
5200,0,True,5200
