iteration,n_conflicted_cells,converged,total_iterations
0,21404,True,30822
250,21319,True,30822
500,21248,True,30822
750,21173,True,30822
1000,21081,True,30822
1250,20996,True,30822
1500,20912,True,30822
1750,20837,True,30822
2000,20754,True,30822
2250,20659,True,30822
2500,20545,True,30822
2750,20454,True,30822
3000,20361,True,30822
3250,20253,True,30822
3500,20160,True,30822
3750,20052,True,30822
4000,19951,True,30822
4250,19829,True,30822
4500,19719,True,30822
4750,19619,True,30822
5000,19519,True,30822
5250,19418,True,30822
5500,19297,True,30822
5750,19172,True,30822
6000,19064,True,30822
6250,18964,True,30822
6500,18847,True,30822
6750,18691,True,30822
7000,18572,True,30822
7250,18437,True,30822
7500,18301,True,30822
7750,18188,True,30822
8000,18060,True,30822
8250,17917,True,30822
8500,17771,True,30822
8750,17615,True,30822
9000,17436,True,30822
9250,17283,True,30822
9500,17142,True,30822
9750,16980,True,30822
10000,16789,True,30822
10250,16641,True,30822
10500,16464,True,30822
10750,16290,True,30822
11000,16116,True,30822
11250,15924,True,30822
11500,15728,True,30822
11750,15538,True,30822
12000,15307,True,30822
12250,15084,True,30822
12500,14883,True,30822
12750,14682,True,30822
13000,14478,True,30822
13250,14233,True,30822
13500,14013,True,30822
13750,13759,True,30822
14000,13558,True,30822
14250,13321,True,30822
14500,13080,True,30822
14750,12837,True,30822
15000,12597,True,30822
15250,12301,True,30822
15500,12073,True,30822
15750,11816,True,30822
16000,11558,True,30822
16250,11321,True,30822
16500,11049,True,30822
16750,10743,True,30822
17000,10452,True,30822
17250,10170,True,30822
17500,9861,True,30822
17750,9537,True,30822
18000,9211,True,30822
18250,9059,True,30822
18500,8920,True,30822
18750,8775,True,30822
19000,8594,True,30822
19250,8444,True,30822
19500,8267,True,30822
19750,8107,True,30822
20000,7956,True,30822
20250,7791,True,30822
20500,7640,True,30822
20750,7471,True,30822
21000,7291,True,30822
21250,7131,True,30822
21500,6931,True,30822
21750,6746,True,30822
22000,6567,True,30822
22250,6367,True,30822
22500,6186,True,30822
22750,5993,True,30822
23000,5797,True,30822
23250,5589,True,30822
23500,5355,True,30822
23750,5113,True,30822
24000,4872,True,30822
24250,4627,True,30822
24500,4313,True,30822
24750,4026,True,30822
25000,3733,True,30822
25250,3605,True,30822
25500,3466,True,30822
25750,3308,True,30822
26000,3174,True,30822
26250,3018,True,30822
26500,2866,True,30822
26750,2694,True,30822
27000,2464,True,30822
27250,2255,True,30822
27500,2065,True,30822
27750,1791,True,30822
28000,1662,True,30822
28250,1528,True,30822
28500,1360,True,30822
28750,1193,True,30822
29000,1011,True,30822
29250,831,True,30822
29500,713,True,30822
29750,560,True,30822
30000,436,True,30822
30250,291,True,30822
30500,143,True,30822
30750,28,True,30822
30822,0,True,30822
