iteration,n_conflicted_cells,converged,total_iterations
0,21418,True,30689
250,21328,True,30689
500,21250,True,30689
750,21159,True,30689
1000,21088,True,30689
1250,21006,True,30689
1500,20919,True,30689
1750,20829,True,30689
2000,20734,True,30689
2250,20638,True,30689
2500,20562,True,30689
2750,20468,True,30689
3000,20360,True,30689
3250,20255,True,30689
3500,20141,True,30689
3750,20047,True,30689
4000,19961,True,30689
4250,19842,True,30689
4500,19721,True,30689
4750,19608,True,30689
5000,19471,True,30689
5250,19352,True,30689
5500,19243,True,30689
5750,19124,True,30689
6000,19029,True,30689
6250,18905,True,30689
6500,18781,True,30689
6750,18642,True,30689
7000,18511,True,30689
7250,18371,True,30689
7500,18215,True,30689
7750,18088,True,30689
8000,17921,True,30689
8250,17775,True,30689
8500,17622,True,30689
8750,17470,True,30689
9000,17292,True,30689
9250,17122,True,30689
9500,16949,True,30689
9750,16801,True,30689
10000,16631,True,30689
10250,16444,True,30689
10500,16271,True,30689
10750,16049,True,30689
11000,15872,True,30689
11250,15703,True,30689
11500,15513,True,30689
11750,15318,True,30689
12000,15138,True,30689
12250,14951,True,30689
12500,14753,True,30689
12750,14515,True,30689
13000,14340,True,30689
13250,14108,True,30689
13500,13920,True,30689
13750,13702,True,30689
14000,13492,True,30689
14250,13244,True,30689
14500,12983,True,30689
14750,12742,True,30689
15000,12515,True,30689
15250,12261,True,30689
15500,12004,True,30689
15750,11758,True,30689
16000,11524,True,30689
16250,11225,True,30689
16500,10982,True,30689
16750,10691,True,30689
17000,10353,True,30689
17250,10050,True,30689
17500,9712,True,30689
17750,9395,True,30689
18000,9127,True,30689
18250,8997,True,30689
18500,8873,True,30689
18750,8722,True,30689
19000,8597,True,30689
19250,8477,True,30689
19500,8347,True,30689
19750,8194,True,30689
20000,8040,True,30689
20250,7900,True,30689
20500,7722,True,30689
20750,7554,True,30689
21000,7382,True,30689
21250,7211,True,30689
21500,7074,True,30689
21750,6905,True,30689
22000,6706,True,30689
22250,6553,True,30689
22500,6374,True,30689
22750,6150,True,30689
23000,5934,True,30689
23250,5681,True,30689
23500,5428,True,30689
23750,5182,True,30689
24000,4900,True,30689
24250,4623,True,30689
24500,4337,True,30689
24750,4060,True,30689
25000,3817,True,30689
25250,3653,True,30689
25500,3515,True,30689
25750,3377,True,30689
26000,3234,True,30689
26250,3058,True,30689
26500,2857,True,30689
26750,2676,True,30689
27000,2458,True,30689
27250,2268,True,30689
27500,2028,True,30689
27750,1766,True,30689
28000,1590,True,30689
28250,1426,True,30689
28500,1246,True,30689
28750,1075,True,30689
29000,869,True,30689
29250,701,True,30689
29500,552,True,30689
29750,408,True,30689
30000,281,True,30689
30250,167,True,30689
30500,70,True,30689
30689,0,True,30689
