iteration,n_conflicted_cells,converged,total_iterations
0,21452,False,40500
250,21378,False,40500
500,21276,False,40500
750,21197,False,40500
1000,21112,False,40500
1250,21026,False,40500
1500,20941,False,40500
1750,20855,False,40500
2000,20765,False,40500
2250,20674,False,40500
2500,20589,False,40500
2750,20502,False,40500
3000,20409,False,40500
3250,20294,False,40500
3500,20192,False,40500
3750,20073,False,40500
4000,19973,False,40500
4250,19867,False,40500
4500,19784,False,40500
4750,19677,False,40500
5000,19562,False,40500
5250,19424,False,40500
5500,19292,False,40500
5750,19162,False,40500
6000,19030,False,40500
6250,18906,False,40500
6500,18785,False,40500
6750,18640,False,40500
7000,18544,False,40500
7250,18391,False,40500
7500,18264,False,40500
7750,18101,False,40500
8000,17952,False,40500
8250,17821,False,40500
8500,17662,False,40500
8750,17506,False,40500
9000,17341,False,40500
9250,17181,False,40500
9500,17007,False,40500
9750,16862,False,40500
10000,16686,False,40500
10250,16504,False,40500
10500,16311,False,40500
10750,16126,False,40500
11000,15959,False,40500
11250,15761,False,40500
11500,15572,False,40500
11750,15372,False,40500
12000,15183,False,40500
12250,14983,False,40500
12500,14760,False,40500
12750,14528,False,40500
13000,14324,False,40500
13250,14115,False,40500
13500,13884,False,40500
13750,13649,False,40500
14000,13389,False,40500
14250,13157,False,40500
14500,12895,False,40500
14750,12655,False,40500
15000,12393,False,40500
15250,12145,False,40500
15500,11903,False,40500
15750,11632,False,40500
16000,11374,False,40500
16250,11084,False,40500
16500,10819,False,40500
16750,10498,False,40500
17000,10224,False,40500
17250,9909,False,40500
17500,9576,False,40500
17750,9241,False,40500
18000,8906,False,40500
18250,8765,False,40500
18500,8618,False,40500
18750,8483,False,40500
19000,8348,False,40500
19250,8171,False,40500
19500,8028,False,40500
19750,7863,False,40500
20000,7696,False,40500
20250,7525,False,40500
20500,7367,False,40500
20750,7217,False,40500
21000,7037,False,40500
21250,6879,False,40500
21500,6672,False,40500
21750,6448,False,40500
22000,6215,False,40500
22250,5961,False,40500
22500,5766,False,40500
22750,5534,False,40500
23000,5288,False,40500
23250,5065,False,40500
23500,4829,False,40500
23750,4579,False,40500
24000,4310,False,40500
24250,3994,False,40500
24500,3673,False,40500
24750,3427,False,40500
25000,3299,False,40500
25250,3169,False,40500
25500,3022,False,40500
25750,2870,False,40500
26000,2702,False,40500
26250,2532,False,40500
26500,2352,False,40500
26750,2120,False,40500
27000,1918,False,40500
27250,1661,False,40500
27500,1483,False,40500
27750,1356,False,40500
28000,1222,False,40500
28250,1073,False,40500
28500,869,False,40500
28750,730,False,40500
29000,608,False,40500
29250,451,False,40500
29500,334,False,40500
29750,218,False,40500
30000,102,False,40500
30250,12,False,40500
30500,8,False,40500
30750,8,False,40500
31000,8,False,40500
31250,8,False,40500
31500,8,False,40500
31750,8,False,40500
32000,8,False,40500
32250,8,False,40500
32500,8,False,40500
32750,8,False,40500
33000,8,False,40500
33250,8,False,40500
33500,8,False,40500
33750,8,False,40500
34000,8,False,40500
34250,8,False,40500
34500,8,False,40500
34750,8,False,40500
35000,8,False,40500
35250,8,False,40500
35500,8,False,40500
35750,8,False,40500
36000,8,False,40500
36250,8,False,40500
36500,8,False,40500
36750,8,False,40500
37000,8,False,40500
37250,8,False,40500
37500,8,False,40500
37750,8,False,40500
38000,8,False,40500
38250,8,False,40500
38500,8,False,40500
38750,8,False,40500
39000,8,False,40500
39250,8,False,40500
39500,8,False,40500
39750,8,False,40500
40000,8,False,40500
40250,8,False,40500
40500,8,False,40500
