iteration,n_conflicted_cells,converged,total_iterations
0,2419,False,14250
250,2345,False,14250
500,2265,False,14250
750,2181,False,14250
1000,2022,False,14250
1250,1924,False,14250
1500,1717,False,14250
1750,1525,False,14250
2000,1291,False,14250
2250,1111,False,14250
2500,978,False,14250
2750,816,False,14250
3000,608,False,14250
3250,482,False,14250
3500,299,False,14250
3750,131,False,14250
4000,47,False,14250
4250,4,False,14250
4500,4,False,14250
4750,4,False,14250
5000,4,False,14250
5250,4,False,14250
5500,4,False,14250
5750,4,False,14250
6000,4,False,14250
6250,4,False,14250
6500,4,False,14250
6750,4,False,14250
7000,4,False,14250
7250,4,False,14250
7500,4,False,14250
7750,4,False,14250
8000,4,False,14250
8250,4,False,14250
8500,4,False,14250
8750,4,False,14250
9000,4,False,14250
9250,4,False,14250
9500,4,False,14250
9750,4,False,14250
10000,4,False,14250
10250,4,False,14250
10500,4,False,14250
10750,4,False,14250
11000,4,False,14250
11250,4,False,14250
11500,4,False,14250
11750,4,False,14250
12000,4,False,14250
12250,4,False,14250
12500,4,False,14250
12750,4,False,14250
13000,4,False,14250
13250,4,False,14250
13500,4,False,14250
13750,4,False,14250
14000,4,False,14250
14250,4,False,14250
