iteration,n_conflicted_cells,converged,total_iterations
0,2431,False,15500
250,2382,False,15500
500,2299,False,15500
750,2179,False,15500
1000,2048,False,15500
1250,1924,False,15500
1500,1730,False,15500
1750,1554,False,15500
2000,1346,False,15500
2250,1188,False,15500
2500,1065,False,15500
2750,886,False,15500
3000,680,False,15500
3250,544,False,15500
3500,408,False,15500
3750,278,False,15500
4000,172,False,15500
4250,62,False,15500
4500,14,False,15500
4750,12,False,15500
5000,12,False,15500
5250,12,False,15500
5500,10,False,15500
5750,10,False,15500
6000,10,False,15500
6250,10,False,15500
6500,10,False,15500
6750,10,False,15500
7000,10,False,15500
7250,10,False,15500
7500,10,False,15500
7750,10,False,15500
8000,10,False,15500
8250,10,False,15500
8500,10,False,15500
8750,10,False,15500
9000,10,False,15500
9250,10,False,15500
9500,10,False,15500
9750,10,False,15500
10000,10,False,15500
10250,10,False,15500
10500,10,False,15500
10750,10,False,15500
11000,10,False,15500
11250,10,False,15500
11500,10,False,15500
11750,10,False,15500
12000,10,False,15500
12250,10,False,15500
12500,10,False,15500
12750,10,False,15500
13000,10,False,15500
13250,10,False,15500
13500,10,False,15500
13750,10,False,15500
14000,10,False,15500
14250,10,False,15500
14500,10,False,15500
14750,10,False,15500
15000,10,False,15500
15250,10,False,15500
15500,10,False,15500
